order    close_time    cmd    symbol    true_volume    open_price    close_price    storage    commission    true_profit
0    6/13/25 1:54    2        0    0    0    0    0    5000
45817113    6/13/25 3:47    BUY    XAUUSD    0.01    3409.18    3412.57    0    0    3.39
45823228    6/13/25 5:12    BUY    XAUUSD    0.01    3427.38    3431.53    0    0    4.15
45856579    6/13/25 15:34    BUY    XAUUSD    0.01    3432.54    3429.58    0    0    -2.96
45856581    6/13/25 15:34    BUY    XAUUSD    0.01    3418.48    3429.58    0    0    11.1
45856584    6/13/25 15:34    BUY    XAUUSD    0.01    3439.6    3429.58    0    0    -10.02
45856585    6/13/25 15:34    BUY    XAUUSD    0.01    3411.22    3429.58    0    0    18.36
45856587    6/13/25 15:34    BUY    XAUUSD    0.01    3425.23    3429.58    0    0    4.35
45879087    6/13/25 17:46    BUY    XAUUSD    0.01    3427.39    3438.26    0    0    10.87
45879089    6/13/25 17:46    BUY    XAUUSD    0.01    3434.26    3438.46    0    0    4.2
45879090    6/13/25 17:46    BUY    XAUUSD    0.01    3441.35    3438.46    0    0    -2.89
